iter	MAE
221	0.4084931041
222	0.4083105423
223	0.4081841705
224	0.4080696661
225	0.4079104543
226	0.4077510036
227	0.4075861795
228	0.4074227573
229	0.4072455252
230	0.4070896952
231	0.4069403011
232	0.4068054479
233	0.4066358046
234	0.4064883914
235	0.4063395338
236	0.4061775379
237	0.406037717
238	0.4059124555
239	0.4057662999
240	0.4056516513
241	0.4054973548
242	0.4053687602
243	0.4052516114
244	0.4051419423
245	0.4050236775
246	0.4048795055
247	0.4047481392
248	0.4046198093
249	0.4044796511
250	0.4043530097
251	0.4042532315
252	0.404127131
253	0.4039997219
254	0.4039015815
255	0.4037807903
256	0.4036642264
257	0.4035529154
258	0.4034323706
259	0.4033516049
260	0.4032386954
261	0.4032057048
262	0.4031056476
263	0.4030215552
264	0.4029197498
265	0.4028171903
266	0.4027253894
267	0.4026635938
268	0.4025719731
269	0.4024647495
270	0.4023851994
271	0.4022876629
272	0.4022218333
273	0.4021491027
274	0.4020471114
275	0.4019415099
276	0.4018663773
277	0.4017904031
278	0.4017076978
279	0.4016736678
280	0.4016023313
281	0.4015187001
282	0.4014325494
283	0.4013379641
284	0.4012592827
285	0.4011902509
286	0.4011010815
287	0.4010164237
288	0.4009559231
289	0.4009049203
290	0.4008440275
291	0.400782406
292	0.4007124937
293	0.4006429983
294	0.400566152
295	0.4004926636
296	0.4004349814
297	0.400353984
298	0.4002870216
299	0.400225131
300	0.4001526548
301	0.4001013403
302	0.4000360011
303	0.3999804812
304	0.3999440881
305	0.3998798874
306	0.3998362308
307	0.3997856479
308	0.3997546349
309	0.3997061321
310	0.3996325213
311	0.3995729099
312	0.399494622
313	0.3994806817
314	0.3994285081
315	0.3993823435
316	0.3993399182
317	0.3992887841
318	0.3992346288
319	0.3991899535
320	0.3991368735
321	0.3990914769
322	0.3990250113
323	0.3989949068
324	0.3989539595
325	0.3989039981
326	0.3988656533
327	0.3988219555
328	0.3987822667
329	0.3987271604
330	0.3986849737
331	0.3986654618
332	0.3986122383
333	0.398563135
334	0.3985149997
335	0.3984742373
336	0.398450721
337	0.3984244925
338	0.3983894974
339	0.3983440572
340	0.3983008227
341	0.3982511439
342	0.3982021678
343	0.3981635647
344	0.398121957
345	0.3980904578
346	0.3980565594
347	0.398007412
348	0.3979606256
349	0.3979159751
350	0.3978834882
351	0.3978461847
352	0.397804576
353	0.3977721185
354	0.3977355092
355	0.3976954921
356	0.397656027
357	0.3976233604
358	0.3975885017
359	0.3975559242
360	0.3975143295
361	0.397475778
362	0.3974405742
363	0.3973999891
364	0.397367987
365	0.397338704
366	0.397300416
367	0.3972661465
368	0.3972270937
369	0.397189818
370	0.3971589184
371	0.3971182753
372	0.3970780609
373	0.3970631086
374	0.3970506851
375	0.3970110203
376	0.3969832913
377	0.3969615799
378	0.3969274635
379	0.3969072846
380	0.3968864593
381	0.3968601319
382	0.3968340125
383	0.3968101398
384	0.3967822868
385	0.3967592769
386	0.3967227347
387	0.3967059079
388	0.3966845547
389	0.3966614192
390	0.3966393026
391	0.3966088979
392	0.3965876616
393	0.3965568097
394	0.39651626
395	0.3964912314
396	0.396479756
397	0.3964526601
398	0.3964280725
399	0.3964017216
400	0.3963842699
401	0.3963546468
402	0.3963316962
403	0.3962971974
404	0.3962789208
405	0.3962556545
406	0.3962351727
407	0.396203218
408	0.3961794913
409	0.3961333386
410	0.3961120242
411	0.3960906581
412	0.3960689338
413	0.396039901
414	0.3960283787
415	0.3959970124
416	0.3959899128
417	0.39596483
418	0.3959318415
419	0.3959123348
420	0.39589495
421	0.3958823578
422	0.3958784312
423	0.3958644977
424	0.3958378318
425	0.3958110193
426	0.3957934604
427	0.3957877875
428	0.3957673425
429	0.3957547577
430	0.3957246283
431	0.3957095415
432	0.3956799631
433	0.3956583997
434	0.3956448497
435	0.39562299
436	0.3955849489
437	0.3955639428
438	0.3955446115
439	0.3955182672
440	0.3954921685
441	0.3954706934
442	0.3954456814
443	0.3954256749
444	0.3954028314
445	0.3953940374
446	0.395374237
447	0.3953613511
448	0.3953428676
449	0.3953245027
450	0.3953066702
451	0.3952802393
452	0.3952673851
453	0.3952567365
454	0.3952516199
455	0.3952317524
456	0.3952161322
457	0.3952007564
458	0.3951890204
459	0.39516961
460	0.3951485119
461	0.3951307937
462	0.3951269025
463	0.3951126224
464	0.3950957233
465	0.3950709089
466	0.3950507012
467	0.3950426779
468	0.3950252228
469	0.3950022183
470	0.3949895415
471	0.3949851002
472	0.3949836573
473	0.394966062
474	0.3949496719
475	0.3949471262
476	0.3949313428
477	0.3949285315
478	0.3949079609
479	0.3948820958
480	0.3948547058
481	0.3948515644
482	0.3948440243
483	0.394824898
484	0.39481259
485	0.394801042
486	0.3947944679
487	0.394775066
488	0.3947623396
489	0.3947453791
490	0.3947373565
491	0.3947066039
492	0.3946854419
493	0.394668356
494	0.3946617585
495	0.3946477206
496	0.3946341582
497	0.3946160202
498	0.3946011437
499	0.3945844476
